id,location_id,address_1,address_2,city,state_province,postal_code,country
1,139278,Sojourner Douglass College,"200 N. Central Ave., 1St Fl., #114",Baltimore,MD,21202,US
2,138427,13 S. Poppleton Street,,Baltimore,MD,21201,US
3,139776,4402 White Oak Avenue,,Baltimore,MD,21215,US
4,138167,3501 Taylor Avenue,,Baltimore,MD,21236,US
5,137787,55 N. Court Street,Suite 100,Westminster,MD,21157,US
6,139054,120 Sister Pierre Drive,Suite 403,Towson,MD,21204,US
7,138472,"935 Pennsylvania Avenue, Nw",J. Edgar Hoover Building,Washington,DC,20535,US
8,138368,2401 West Belvedere Avenue,,Baltimore,MD,21215,US
9,139289,1301 Mcculloh Street,,Baltimore,MD,21217,US
10,139791,8635 Loch Raven Boulevard,"Suite 4, 2Nd Floor",Baltimore,MD,21286,US
11,137691,100 N. Calvert Street,Room 410,Baltimore,MD,21202,US
12,138760,8501 Lasalle Road,Suite 106,Towson,MD,21286,US
13,138182,417 E. Fayette Street,Suite 468,Baltimore,MD,21202,US
14,137857,1200 W. Baltimore Street,,Baltimore,MD,21223,US
15,139211,3100 Wyman Park Drive,,Baltimore,MD,21211,US
16,138154,7480 Baltimore Annapolis Blvd.,Suite 100,Glen Burnie,MD,21061,US
17,139366,1928 Pennsylvania Avenue,,Baltimore,MD,21217,US
18,137793,725 Fallsway,,Baltimore,MD,21202,US
19,138979,11308 Grandview Avenue,2Nd Floor,Wheaton,MD,20902,US
20,137695,105 West Chesapeake Avenue,,Towson,MD,21204-4767,US
21,138719,3510 Eldorado Avenue,,Baltimore,MD,21207,US
22,138394,4901 Eastern Avenue,,Hyattsville,MD,20782,US
23,138646,6776 Reisterstown Road,Suite 307,Baltimore,MD,21215,US
24,139762,11319 Elkin Street,,Wheaton,MD,20906,US
25,139131,210 Guilford Avenue,3Rd Floor,Baltimore,MD,21202,US
26,139562,7001 Johnnycake Road,Suite 204,Woodlawn,MD,21244,US
27,137945,707 St. Paul Street,,Baltimore,MD,21202,US
28,138179,1 N. Charles Street,Suite 222,Baltimore,MD,21201-3701,US
29,138493,4101 1/2 Old York Road,,Baltimore,MD,21218,US
30,137651,251 West Street,P.O. Box 1951 (Mailing Address),Annapolis,MD,21401-1951,US
31,138404,7601 Osler Drive,,Towson,MD,21204,US
32,137696,6401 York Road,,Baltimore,MD,21212,US
33,137683,417 E. Fayette St.,Suite 1346,Baltimore,MD,21202,US
34,139808,1730 Twin Springs Road,Suite 200,Halethorpe,MD,21227,US
35,138741,10025 Governor Warfield Parkway,Suite 102,Columbia,MD,21044,US
36,138152,630 W. Fayette Street,,Baltimore,MD,21201-1585,US
37,138706,7520 Surratts Road,,Clinton,MD,20735,US
38,138934,1634 Guilford Ave,,Baltimore,MD,21202,US
39,138803,11299 Owings Mills Blvd.,Suite 204,Owings Mills,MD,21117,US
40,137996,516 Glenwood Avenue,,Baltimore,MD,21212,US
41,138171,200 W. Baltimore Street,,Baltimore,MD,21201,US
42,138916,2114 N. Charles Street,Suite 100,Baltimore,MD,21218,US
43,139330,6211 Harford Rd.,,Baltimore,MD,21214,US
44,138159,6901 N. Charles Street,Ess Bldg. Suite 211,Towson,MD,21204,US
45,138872,3723 Old Court Road,Suite 205,Baltimore,MD,21208,US
46,139760,6401 York Road,,Baltimore,MD,21212,US
